timestamp,ax,ay,az,gx,gy,gz
2025-06-19T09:36:08.635309,16456,4716,-4204,-2600,7447,-6233
2025-06-19T09:36:09.288841,17056,5740,-2396,-314,-1801,2013
2025-06-19T09:36:09.596929,17392,1912,-4708,1659,-4691,1747
2025-06-19T09:36:10.109871,16632,892,-7524,1165,-4056,1852
2025-06-19T09:36:10.728639,15672,496,-9028,-666,343,-827
2025-06-19T09:36:11.030550,15640,1012,-9364,-964,-457,-1036
2025-06-19T09:36:11.644448,15400,1824,-9448,-403,-1605,-1470
2025-06-19T09:36:11.952555,13924,4968,-10192,-1503,-1110,-4840
2025-06-19T09:36:12.287746,11164,7548,-10624,10,-7086,-6156
2025-06-19T09:36:12.566014,6416,8212,-14648,-722,-5038,-5159
2025-06-19T09:36:12.884678,2416,10992,-14760,-7233,-225,-5676
2025-06-19T09:36:13.218338,-756,12576,-11164,-3787,248,-3764
2025-06-19T09:36:13.489608,-2024,14240,-9628,-924,254,-2692
2025-06-19T09:36:13.804802,-3732,13876,-6704,-2342,-312,-2553
2025-06-19T09:36:14.100552,-5072,14152,-6968,-547,1364,-159
2025-06-19T09:36:14.411640,-5344,14416,-7776,234,-1286,-943
2025-06-19T09:36:14.742753,-4916,14360,-7704,-209,61,584
2025-06-19T09:36:15.023675,-4684,14144,-7792,467,24,-580
2025-06-19T09:36:15.265549,-4188,14152,-7776,-324,-282,-97
2025-06-19T09:36:15.534046,-4504,13964,-7796,1080,-634,319
2025-06-19T09:36:15.842953,-4280,14064,-8516,1865,-1849,1598
2025-06-19T09:36:16.223305,-2236,14196,-9404,265,-775,518
2025-06-19T09:36:16.558390,-3056,13708,-9356,526,-912,773
2025-06-19T09:36:16.864355,-2100,13752,-10272,819,386,2010
2025-06-19T09:36:17.171588,-104,12940,-11016,1083,-1238,2267
2025-06-19T09:36:17.487814,1412,12648,-12448,1392,499,1584
2025-06-19T09:36:17.860385,2808,11432,-14100,1876,2190,2260
2025-06-19T09:36:18.197701,3732,10308,-14252,-313,317,52
2025-06-19T09:36:18.504399,5004,10952,-14408,-793,1564,44
2025-06-19T09:36:18.812067,7400,10392,-14080,-365,6649,2966
2025-06-19T09:36:19.130503,10896,9244,-8864,-3082,6676,554
2025-06-19T09:36:19.425835,13660,7604,-6292,602,-1889,3849
2025-06-19T09:36:19.732368,14872,7024,-9788,4785,359,3826
2025-06-19T09:36:20.042710,14804,3044,-12232,2080,-2084,3203
2025-06-19T09:36:20.845446,12040,-316,-13676,5522,-4814,4323
2025-06-19T09:36:21.273811,12908,-6800,-10576,-924,1252,1731
2025-06-19T09:36:21.680434,12096,-7884,-11204,-257,1934,1038
2025-06-19T09:36:21.990058,12100,-9668,-9968,612,-383,960
2025-06-19T09:36:22.226375,11944,-9684,-10696,-557,-3291,1406
2025-06-19T09:36:22.531857,8932,-10088,-10696,-2103,-2918,1433
2025-06-19T09:36:22.838242,8516,-10448,-11984,-233,-915,-524
2025-06-19T09:36:23.467330,9192,-11004,-11168,-782,-341,292
2025-06-19T09:36:23.797284,9348,-10156,-11912,-883,706,-547
2025-06-19T09:36:24.138362,9600,-9784,-11940,-111,-534,-722
2025-06-19T09:36:24.458812,10868,-9200,-12184,-875,1345,-1941
2025-06-19T09:36:24.757616,11492,-8032,-11448,-1359,1035,-2675
2025-06-19T09:36:25.064677,12744,-6436,-10912,-998,739,-2287
2025-06-19T09:36:25.369173,14344,-5676,-11372,-1900,587,-2767
2025-06-19T09:36:25.675510,14720,-2364,-10092,-4347,6096,-2889
2025-06-19T09:36:26.086989,14952,-796,-7568,-1768,3033,-2248
2025-06-19T09:36:26.686463,19100,2620,-7012,977,800,353
2025-06-19T09:36:27.006635,16668,2432,-4748,866,-1811,1357
2025-06-19T09:36:27.311140,15704,1956,-6216,-32,-1161,1175
2025-06-19T09:36:27.773673,16404,1060,-7340,-1601,1066,829
2025-06-19T09:36:28.155857,16240,884,-7152,553,-895,347
2025-06-19T09:36:28.581173,16220,-464,-7884,-523,-1255,1280
2025-06-19T09:36:29.054534,16396,-576,-8136,101,1836,-2840
2025-06-19T09:36:29.287146,16324,1144,-6424,-315,-1647,321
2025-06-19T09:36:29.768854,16484,1096,-6892,80,-1281,722
2025-06-19T09:36:30.077531,16632,288,-7108,485,-2276,-251
2025-06-19T09:36:30.882215,15604,768,-6800,79,739,-1699
2025-06-19T09:36:31.210014,13648,4952,-412,705,4869,-1807
2025-06-19T09:36:31.509082,14648,3960,1552,-1484,-51,613
2025-06-19T09:36:31.815378,16208,3692,-468,-408,-4276,-3271
2025-06-19T09:36:32.122389,18040,4996,-364,-145,-3502,-3822
2025-06-19T09:36:32.430057,15512,5052,1008,-1979,1064,294
2025-06-19T09:36:32.929034,16632,4584,-528,276,-400,1072
2025-06-19T09:36:33.748664,16016,4220,-1444,-830,-231,-66
2025-06-19T09:36:34.232557,13608,5504,1684,4,4956,-4278
2025-06-19T09:36:34.493191,15092,7896,4324,-3706,5,389
2025-06-19T09:36:34.784732,12764,8240,4932,-1077,-1598,1557
2025-06-19T09:36:35.094121,14788,2064,3536,-1266,10179,1465
2025-06-19T09:36:35.400836,15460,7684,2504,1245,-3465,-1392
2025-06-19T09:36:35.706323,13844,3332,1364,-1544,-6464,3574
2025-06-19T09:36:36.015798,18848,9688,-2080,-1037,-3223,204
2025-06-19T09:36:36.321108,13940,4048,-348,-277,-1701,-305
2025-06-19T09:36:36.730971,18512,2524,-2740,-5855,3327,603
2025-06-19T09:36:37.039310,2688,2256,832,6316,14072,-4209
2025-06-19T09:36:37.367964,15192,2776,2264,4221,-4036,-64
2025-06-19T09:36:37.659838,17308,4160,-3528,216,4437,3563
2025-06-19T09:36:37.981467,16748,308,-1692,-1760,-2924,-304
2025-06-19T09:36:38.267148,11104,1896,-1368,9375,11965,-10214
2025-06-19T09:36:38.573687,18040,276,-2196,-4519,8765,-1166
2025-06-19T09:36:38.992009,17328,2008,1356,-347,-3697,-42
2025-06-19T09:36:39.291532,18492,3028,2520,-956,4222,-2965
2025-06-19T09:36:39.608604,14224,-4500,3136,4100,-603,15276
2025-06-19T09:36:39.900699,18484,4436,8036,-2935,3641,1892
2025-06-19T09:36:40.711634,19000,-5004,916,-2164,-3554,832
2025-06-19T09:36:40.944983,17496,2332,-1072,-577,451,-1530
2025-06-19T09:36:41.236235,17544,1956,-1344,217,-2688,1848
2025-06-19T09:36:41.656122,17256,1632,-680,-825,1430,-2514
2025-06-19T09:36:41.952808,15176,5728,3800,-1385,6669,-6975
2025-06-19T09:36:42.373236,10224,7504,7600,-2842,6380,-2570
2025-06-19T09:36:42.806473,11656,6952,8160,-3263,1113,1560
2025-06-19T09:36:43.045142,10712,6028,8608,-202,-2786,33
2025-06-19T09:36:43.291034,13368,6492,7316,-445,-2883,355
2025-06-19T09:36:43.599281,16060,5576,6472,240,-4002,985
2025-06-19T09:36:43.904169,12388,6164,6284,-2219,-514,87
2025-06-19T09:36:44.134210,13132,6604,6884,-853,-264,220
2025-06-19T09:36:44.367330,13592,5532,6012,734,-1627,457
2025-06-19T09:36:44.620624,13284,5004,6320,-556,-386,-347
2025-06-19T09:36:44.861465,14404,4912,5636,286,-1140,-410
2025-06-19T09:36:45.098999,14020,4964,5344,-266,-2653,791
2025-06-19T09:36:45.439589,16656,3444,4236,2189,739,-1058
2025-06-19T09:36:45.750221,14804,5388,4376,-1100,-2200,1620
2025-06-19T09:36:46.053710,15724,4916,3244,3722,-2111,348
2025-06-19T09:36:46.359889,15704,4484,1060,419,3391,810
2025-06-19T09:36:46.679226,12504,4292,4308,6693,903,1184
2025-06-19T09:36:46.974555,16024,5504,1028,-1363,7135,1753
2025-06-19T09:36:47.282031,14564,4336,5448,-6704,2830,-1134
2025-06-19T09:36:47.525364,12364,6944,5704,-369,-4700,1101
2025-06-19T09:36:47.795911,15096,1408,5844,-3310,2322,687
2025-06-19T09:36:48.103662,14680,1476,5288,-3782,-5053,1183
2025-06-19T09:36:48.405580,16324,1776,4612,-135,701,-69
2025-06-19T09:36:48.717423,12556,2740,7112,-787,272,-28
2025-06-19T09:36:48.956878,14236,4060,5456,-1140,-1499,790
2025-06-19T09:36:49.327479,16212,-1776,3292,1051,-884,2846
2025-06-19T09:36:49.635597,15756,-88,4572,735,-272,951
2025-06-19T09:36:49.943951,15024,-176,4888,-300,2159,-1938
2025-06-19T09:36:50.282657,12112,2436,9016,1773,7968,-5106
2025-06-19T09:36:50.669874,9072,3520,11332,-3134,6367,-1553
2025-06-19T09:36:50.969313,4648,3548,13108,-1337,-1750,290
2025-06-19T09:36:51.275497,7744,2704,12592,-633,246,-295
2025-06-19T09:36:51.581236,8808,2432,12700,408,-1574,-719
2025-06-19T09:36:51.884895,6684,2776,12700,635,-1693,-985
2025-06-19T09:36:52.295424,8728,3164,12540,-128,-676,-461
2025-06-19T09:36:52.613198,8364,3952,12000,-1200,-2243,467
2025-06-19T09:36:52.924304,9932,4016,10820,-3,-3887,-26
2025-06-19T09:36:53.219480,10968,3112,10272,-952,-800,270
2025-06-19T09:36:53.525930,10792,3112,10444,-465,327,-14
2025-06-19T09:36:53.833776,10668,3280,10412,-456,68,-95
2025-06-19T09:36:54.148508,10820,3404,10380,671,-2208,-687
2025-06-19T09:36:54.445501,11908,4048,8396,-78,-5575,-236
2025-06-19T09:36:54.763138,15232,3972,3288,2054,-10907,3333
2025-06-19T09:36:55.456726,15300,3096,2064,-36,1412,963
2025-06-19T09:36:55.787968,16832,4316,-2040,-729,405,1349
2025-06-19T09:36:56.095568,16700,3212,-2440,-390,-472,-131
2025-06-19T09:36:56.393416,16588,3640,-2240,-444,-593,-476
2025-06-19T09:37:00.071026,16420,4264,-2952,-176,-95,-1245
2025-06-19T09:37:00.428765,576,16488,-3440,178,-885,163
2025-06-19T09:37:01.293772,2584,18072,-3668,1013,183,-258
2025-06-19T09:37:01.624334,-716,16416,-7432,3907,-1157,3078
2025-06-19T09:37:01.939000,-536,14716,-9516,2262,-3489,3504
2025-06-19T09:37:02.234373,2548,13128,-16384,14375,-9289,3041
2025-06-19T09:37:02.544020,4912,10424,-14900,-346,-7662,-2676
2025-06-19T09:37:02.851171,-1372,6108,-14540,2225,-5364,-2557
2025-06-19T09:37:03.109361,-5408,4840,-15888,-984,-486,-3352
2025-06-19T09:37:03.359282,-6844,6460,-16292,843,-2085,2003
2025-06-19T09:37:03.678271,-5440,5368,-16368,9474,-2126,5573
2025-06-19T09:37:03.977690,-1880,2324,-14824,752,11645,6281
2025-06-19T09:37:04.206894,3772,2160,-20096,-341,-3048,-606
2025-06-19T09:37:04.589170,1988,1372,-18384,-2018,-872,-1323
2025-06-19T09:37:04.894455,1516,792,-20056,-1761,-5698,612
2025-06-19T09:37:05.204354,-1952,9948,-21536,1724,-1243,-5544
2025-06-19T09:37:05.653772,-2008,4940,-18188,612,-2314,-7536
2025-06-19T09:37:05.919754,-8012,4652,-15356,-3894,3891,-1950
2025-06-19T09:37:06.226065,-8000,2584,-17440,490,93,241
2025-06-19T09:37:06.533799,-7300,4348,-15560,171,-1592,828
2025-06-19T09:37:06.841370,-6552,4372,-16884,1966,-30,-1039
2025-06-19T09:37:07.146993,-6084,2612,-16928,540,-501,594
2025-06-19T09:37:07.554122,-7292,2524,-16292,-110,-504,540
2025-06-19T09:37:07.966422,-6852,2260,-16648,-213,-575,350
2025-06-19T09:37:08.272143,-7040,2708,-16632,-494,-313,37
2025-06-19T09:37:08.587506,-6672,2672,-16524,151,-325,37
2025-06-19T09:37:08.887321,-7208,2648,-16896,1168,5782,2209
2025-06-19T09:37:09.206194,-5688,2956,-17160,-489,626,1140
2025-06-19T09:37:09.998958,-5992,2788,-17068,182,-317,295
2025-06-19T09:37:10.818068,-6020,2000,-17308,1271,947,2585
2025-06-19T09:37:11.128924,9080,3152,-16668,-2286,3406,533
2025-06-19T09:37:11.368591,9308,5364,-15124,-3799,1962,-1725
2025-06-19T09:37:11.649369,10844,6648,-14716,-1721,1066,150
2025-06-19T09:37:11.970047,9012,6472,-13176,-2635,1349,447
2025-06-19T09:37:12.368049,11912,7080,-13188,-1757,-2761,-2244
2025-06-19T09:37:12.674708,8220,8100,-14372,-1194,-951,-1196
2025-06-19T09:37:13.043837,7436,9136,-13792,428,385,1064
2025-06-19T09:37:13.400121,11676,7404,-10488,-5231,7223,5947
2025-06-19T09:37:13.748368,13524,564,-7712,11719,820,-906
2025-06-19T09:37:14.014311,12992,-1196,-11324,-2601,2465,3926
2025-06-19T09:37:14.314802,13344,-1004,-13936,4253,-178,5590
2025-06-19T09:37:14.620635,14000,-8008,-10368,-3855,21259,9319
2025-06-19T09:37:14.929431,14292,-6120,-5836,497,-4124,-4208
2025-06-19T09:37:15.359061,15332,-6252,-5572,-973,2414,222
2025-06-19T09:37:15.746042,14120,-3056,-4880,-1029,-12003,1859
2025-06-19T09:37:16.091524,10664,-6640,-12624,2506,-14869,9719
2025-06-19T09:37:16.362061,10928,-15928,-14392,5718,32767,-9027
2025-06-19T09:37:16.674889,12556,-6192,-8968,-6489,-4793,11961
2025-06-19T09:37:17.000207,9880,-12964,-8864,737,-7741,1720
2025-06-19T09:37:17.280650,8340,-12800,-9276,-544,2727,924
2025-06-19T09:37:17.597564,8184,-11916,-11040,-1395,-2625,-1016
2025-06-19T09:37:17.891989,6352,-14072,-6944,2893,4259,-415
2025-06-19T09:37:18.123967,9628,-12492,-9772,-1054,-3129,405
2025-06-19T09:37:18.354757,7620,-12756,-9796,-1856,-4616,1436
2025-06-19T09:37:18.612888,8280,-12588,-10324,163,-1099,-460
2025-06-19T09:37:18.932283,8200,-12980,-9144,80,558,-788
2025-06-19T09:37:19.222757,7836,-12996,-9680,-34,-647,-148
2025-06-19T09:37:19.532740,8476,-12948,-9516,-659,-134,-137
2025-06-19T09:37:19.849846,8452,-13120,-9700,-299,270,44
2025-06-19T09:37:20.143641,8208,-12792,-9676,-542,124,-170
2025-06-19T09:37:20.465647,8360,-12996,-9680,-598,-273,217
2025-06-19T09:37:20.774310,8252,-13112,-9536,-367,4,-282
2025-06-19T09:37:21.282485,8408,-13040,-9520,-417,43,-150
2025-06-19T09:37:21.591009,8032,-13128,-9460,-232,-349,-270
2025-06-19T09:37:21.899117,7728,-13012,-9532,-571,-263,-47
2025-06-19T09:37:22.205134,7972,-13016,-9500,-242,-338,-302
2025-06-19T09:37:22.512340,7900,-12992,-9436,-185,-210,-89
2025-06-19T09:37:22.815770,7840,-12968,-9388,-268,61,-108
2025-06-19T09:37:23.125527,7832,-12764,-9496,3,-805,-253
2025-06-19T09:37:23.433386,8092,-13276,-9420,-208,-146,-35
2025-06-19T09:37:23.740427,7872,-12988,-9420,-242,151,-237
2025-06-19T09:37:24.047934,8184,-12920,-9504,-374,-27,-152
2025-06-19T09:37:24.354797,8004,-13268,-9684,-455,23,47
2025-06-19T09:37:24.662664,8024,-13044,-9492,-333,-209,-287
2025-06-19T09:37:25.056118,7940,-13124,-9408,-512,-131,-149
2025-06-19T09:37:25.288285,8048,-13164,-9480,-176,-218,-179
2025-06-19T09:37:25.580980,7940,-13264,-9492,-494,-232,-218
2025-06-19T09:37:25.989701,8184,-13204,-9368,-335,-295,-258
2025-06-19T09:37:26.297612,7856,-13120,-9480,-373,-489,-272
2025-06-19T09:37:26.805317,8032,-13036,-9612,-462,-296,-720
2025-06-19T09:37:27.165818,8032,-12400,-10564,-896,-1895,-2468
2025-06-19T09:37:27.656411,8148,-12416,-11100,175,-914,-191
2025-06-19T09:37:27.944594,12312,-8048,-12568,-5584,5264,-6079
2025-06-19T09:37:28.175822,13100,-3900,-9844,-7865,8903,-3939
2025-06-19T09:37:28.444331,14036,-1132,-6176,-5777,6202,-2738
2025-06-19T09:37:28.752857,18092,-808,-8156,774,-2311,-847
2025-06-19T09:37:29.059789,19072,-692,-8956,291,-5257,1204
